stop_name,stop_lat,stop_lon
Chatswood Station,-33.79742138,151.1809409
Dulwich Hill Station,-33.91094031,151.1407232
Regents Park Station,-33.88291484,151.0242361
Richmond Station,-33.59914138,150.7531921
Strathfield Station,-33.87168881,151.0942438
Campsie Station,-33.91055158,151.1026288
Sydenham Station,-33.91432887,151.1667436
Cronulla Station,-34.05661753,151.1515969
Macarthur Station,-34.07200524,150.7970799
Sutherland Station,-34.03182105,151.0571387
Redfern Station,-33.89221212,151.1984595
Clyde Station,-33.83612812,151.0172472
Town Hall Station,-33.8735681,151.2068516
Sefton Station,-33.88524897,151.0114842
Hornsby Station,-33.70284712,151.0985266
Lidcombe Station,-33.86381656,151.0452456
Carlingford Station,-33.7821769,151.04708
Leppington Station,-33.9544178,150.8081968
Heathcote Station,-34.08809181,151.008119
Central Station,-33.88410703,151.2062753
Olympic Park Station,-33.84652748,151.0695146
Blacktown Station,-33.7685349,150.9073287
Glenfield Station,-33.97213673,150.8931798
Emu Plains Station,-33.74558761,150.6721883
Berowra Station,-33.62355944,151.1531636
Epping Station,-33.7725455,151.0819722
Bondi Junction Station,-33.8912551,151.2486535
Wolli Creek Station,-33.92852612,151.1540634
Cabramatta Station,-33.894988,150.938821
Circular Quay Station,-33.8613552,151.2105747